,product_id,category,sub_category,cost_price,list_price,discount_percent,discount_price,sale_price,profit,quantity
108,OFF-AR-10000390,Office Supplies,Art,0,0,3,0.0,0.0,0.0,1
109,TEC-AC-10000844,Technology,Accessories,290,340,2,6.8,333.2,43.2,5
110,FUR-FU-10001934,Furniture,Furnishings,30,40,2,0.8,39.2,9.2,2
111,OFF-AR-10000380,Office Supplies,Art,70,80,3,2.4,77.6,7.6,2
112,OFF-BI-10003981,Office Supplies,Binders,30,30,3,0.9,29.1,-0.9,6
113,OFF-FA-10000621,Office Supplies,Fasteners,40,40,2,0.8,39.2,-0.8,14
114,OFF-EN-10002600,Office Supplies,Envelopes,0,0,4,0.0,0.0,0.0,2
115,OFF-PA-10004965,Office Supplies,Paper,20,20,4,0.8,19.2,-0.8,3
116,OFF-EN-10002504,Office Supplies,Envelopes,120,130,5,6.5,123.5,3.5,6
117,FUR-TA-10001768,Furniture,Tables,720,790,4,31.6,758.4,38.4,3
119,FUR-FU-10002157,Furniture,Furnishings,50,50,3,1.5,48.5,-1.5,3
120,OFF-BI-10003910,Office Supplies,Binders,20,30,2,0.6,29.4,9.4,4
121,OFF-ST-10000777,Office Supplies,Storage,190,230,2,4.6,225.4,35.4,6
122,OFF-EN-10002500,Office Supplies,Envelopes,110,120,4,4.8,115.2,5.2,9
123,TEC-PH-10003875,Technology,Phones,60,70,2,1.4,68.6,8.6,7
124,FUR-CH-10004063,Furniture,Chairs,550,600,3,18.0,582.0,32.0,3
125,FUR-TA-10004534,Furniture,Tables,540,620,4,24.8,595.2,55.2,6
126,OFF-BI-10003274,Office Supplies,Binders,0,0,4,0.0,0.0,0.0,2
127,OFF-ST-10002974,Office Supplies,Storage,200,240,4,9.6,230.4,30.4,7
128,FUR-CH-10001146,Furniture,Chairs,70,80,2,1.6,78.4,8.4,2
129,FUR-FU-10003773,Furniture,Furnishings,220,240,4,9.6,230.4,10.4,3
130,TEC-PH-10002293,Technology,Phones,50,60,3,1.8,58.2,8.2,5
131,OFF-PA-10002377,Office Supplies,Paper,80,80,4,3.2,76.8,-3.2,2
132,OFF-FA-10002780,Office Supplies,Fasteners,20,20,5,1.0,19.0,-1.0,9
133,OFF-PA-10001804,Office Supplies,Paper,20,20,4,0.8,19.2,-0.8,3
134,OFF-PA-10001736,Office Supplies,Paper,30,40,5,2.0,38.0,8.0,1
135,OFF-AR-10001149,Office Supplies,Art,10,10,5,0.5,9.5,-0.5,4
136,OFF-FA-10002988,Office Supplies,Fasteners,0,0,5,0.0,0.0,0.0,2
137,OFF-BI-10004781,Office Supplies,Binders,70,80,2,1.6,78.4,8.4,3
138,OFF-SU-10001218,Office Supplies,Supplies,60,70,5,3.5,66.5,6.5,6
139,FUR-FU-10001706,Furniture,Furnishings,40,40,2,0.8,39.2,-0.8,14
140,FUR-FU-10004848,Furniture,Furnishings,60,80,2,1.6,78.4,18.4,2
141,OFF-AR-10000940,Office Supplies,Art,10,10,3,0.3,9.7,-0.3,3
142,OFF-EN-10004030,Office Supplies,Envelopes,10,10,2,0.2,9.8,-0.2,3
143,OFF-PA-10004327,Office Supplies,Paper,130,140,5,7.0,133.0,3.0,3
144,OFF-AP-10001058,Office Supplies,Appliances,780,840,2,16.8,823.2,43.2,3
145,OFF-ST-10003656,Office Supplies,Storage,600,670,3,20.1,649.9,49.9,7
146,FUR-FU-10000521,Furniture,Furnishings,80,90,4,3.6,86.4,6.4,4
147,TEC-PH-10000215,Technology,Phones,350,380,4,15.2,364.8,14.8,11
148,TEC-PH-10001448,Technology,Phones,140,150,5,7.5,142.5,2.5,3
149,FUR-CH-10000454,Furniture,Chairs,1580,1950,3,58.5,1891.5,311.5,8
150,OFF-BI-10002735,Office Supplies,Binders,150,170,4,6.8,163.2,13.2,5
151,OFF-AP-10000326,Office Supplies,Appliances,140,160,5,8.0,152.0,12.0,5
152,TEC-PH-10001254,Technology,Phones,160,200,2,4.0,196.0,36.0,2
153,OFF-PA-10001950,Office Supplies,Paper,50,60,4,2.4,57.6,7.6,7
154,OFF-PA-10002254,Office Supplies,Paper,100,110,4,4.4,105.6,5.6,4
155,OFF-ST-10001590,Office Supplies,Storage,60,80,4,3.2,76.8,16.8,6
156,OFF-AR-10001547,Office Supplies,Art,10,10,3,0.3,9.7,-0.3,3
157,FUR-CH-10004063,Furniture,Chairs,380,460,2,9.2,450.8,70.8,2
158,OFF-LA-10002475,Office Supplies,Labels,10,10,3,0.3,9.7,-0.3,2
159,TEC-PH-10004536,Technology,Phones,870,940,5,47.0,893.0,23.0,7
160,OFF-PA-10002751,Office Supplies,Paper,10,10,4,0.4,9.6,-0.4,1
161,TEC-AC-10003657,Technology,Accessories,40,50,5,2.5,47.5,7.5,2
162,OFF-EN-10001990,Office Supplies,Envelopes,30,30,4,1.2,28.8,-1.2,5
163,OFF-BI-10004002,Office Supplies,Binders,20,30,3,0.9,29.1,9.1,2
164,OFF-AR-10004441,Office Supplies,Art,10,10,5,0.5,9.5,-0.5,3
165,TEC-MA-10000822,Technology,Machines,6850,8160,4,326.4,7833.6,983.6,8
166,OFF-ST-10000991,Office Supplies,Storage,250,280,4,11.2,268.8,18.8,3
167,FUR-CH-10004287,Furniture,Chairs,1620,1740,4,69.6,1670.4,50.4,9
168,OFF-AR-10002656,Office Supplies,Art,30,30,4,1.2,28.8,-1.2,6
169,OFF-AP-10002518,Office Supplies,Appliances,150,180,2,3.6,176.4,26.4,5
170,TEC-PH-10003931,Technology,Phones,120,140,5,7.0,133.0,13.0,3
171,OFF-PA-10000659,Office Supplies,Paper,20,20,2,0.4,19.6,-0.4,3
172,OFF-PA-10001144,Office Supplies,Paper,100,110,4,4.4,105.6,5.6,2
173,FUR-CH-10003817,Furniture,Chairs,290,340,2,6.8,333.2,43.2,7
174,OFF-AP-10000891,Office Supplies,Appliances,50,50,4,2.0,48.0,-2.0,2
175,OFF-LA-10003148,Office Supplies,Labels,20,20,5,1.0,19.0,-1.0,4
176,OFF-AP-10002684,Office Supplies,Appliances,90,100,2,2.0,98.0,8.0,4
177,FUR-CH-10004698,Furniture,Chairs,370,400,5,20.0,380.0,10.0,7
178,OFF-SU-10002189,Office Supplies,Supplies,20,20,3,0.6,19.4,-0.6,5
179,OFF-AR-10001940,Office Supplies,Art,0,0,5,0.0,0.0,0.0,1
180,OFF-ST-10003455,Office Supplies,Storage,20,20,5,1.0,19.0,-1.0,2
181,TEC-AC-10004659,Technology,Accessories,380,410,3,12.3,397.7,17.7,7
182,TEC-PH-10003273,Technology,Phones,470,500,5,25.0,475.0,5.0,4
183,TEC-PH-10004896,Technology,Phones,140,150,2,3.0,147.0,7.0,5
184,TEC-AC-10002345,Technology,Accessories,30,30,5,1.5,28.5,-1.5,2
185,OFF-BI-10001890,Office Supplies,Binders,10,10,2,0.2,9.8,-0.2,2
186,TEC-AC-10002323,Technology,Accessories,160,180,3,5.4,174.6,14.6,8
187,OFF-ST-10001328,Office Supplies,Storage,40,40,4,1.6,38.4,-1.6,3
188,OFF-PA-10001950,Office Supplies,Paper,20,20,3,0.6,19.4,-0.6,3
189,FUR-BO-10002613,Furniture,Bookcases,820,900,3,27.0,873.0,53.0,4
190,TEC-PH-10001552,Technology,Phones,60,70,4,2.8,67.2,7.2,6
191,OFF-PA-10000061,Office Supplies,Paper,50,50,5,2.5,47.5,-2.5,8
192,FUR-BO-10002545,Furniture,Bookcases,520,630,2,12.6,617.4,97.4,3
193,OFF-AR-10003514,Office Supplies,Art,20,20,3,0.6,19.4,-0.6,5
194,OFF-EN-10001509,Office Supplies,Envelopes,10,10,2,0.2,9.8,-0.2,7
195,OFF-AR-10004685,Office Supplies,Art,10,10,5,0.5,9.5,-0.5,2
196,OFF-AR-10004027,Office Supplies,Art,10,10,2,0.2,9.8,-0.2,3
197,OFF-ST-10001414,Office Supplies,Storage,40,50,5,2.5,47.5,7.5,3
198,OFF-BI-10000343,Office Supplies,Binders,0,0,5,0.0,0.0,0.0,2
199,OFF-PA-10002749,Office Supplies,Paper,20,20,2,0.4,19.6,-0.4,3
200,OFF-PA-10002666,Office Supplies,Paper,20,20,5,1.0,19.0,-1.0,3
201,FUR-TA-10004289,Furniture,Tables,200,220,3,6.6,213.4,13.4,2
202,OFF-AP-10003622,Office Supplies,Appliances,0,0,5,0.0,0.0,0.0,1
203,OFF-AP-10003217,Office Supplies,Appliances,60,70,2,1.4,68.6,8.6,2
204,FUR-FU-10002960,Furniture,Furnishings,40,40,3,1.2,38.8,-1.2,7
205,TEC-PH-10001918,Technology,Phones,370,440,3,13.2,426.8,56.8,4
206,OFF-ST-10000642,Office Supplies,Storage,70,80,4,3.2,76.8,6.8,4
207,TEC-PH-10001700,Technology,Phones,120,130,3,3.9,126.1,6.1,2
208,OFF-BI-10003274,Office Supplies,Binders,20,20,3,0.6,19.4,-0.6,4
209,OFF-FA-10000134,Office Supplies,Fasteners,50,50,2,1.0,49.0,-1.0,9
210,OFF-ST-10001522,Office Supplies,Storage,80,90,5,4.5,85.5,5.5,1
211,TEC-AC-10001266,Technology,Accessories,20,20,4,0.8,19.2,-0.8,2
212,OFF-LA-10004544,Office Supplies,Labels,20,20,4,0.8,19.2,-0.8,2
213,FUR-BO-10004695,Furniture,Bookcases,390,450,5,22.5,427.5,37.5,5
214,TEC-PH-10002844,Technology,Phones,50,60,3,1.8,58.2,8.2,3
215,TEC-MA-10000864,Technology,Machines,1040,1190,4,47.6,1142.4,102.4,9
216,TEC-AC-10000109,Technology,Accessories,80,90,5,4.5,85.5,5.5,2
217,OFF-ST-10001328,Office Supplies,Storage,80,90,3,2.7,87.3,7.3,6
218,TEC-PH-10002563,Technology,Phones,250,300,4,12.0,288.0,38.0,3
219,OFF-FA-10000585,Office Supplies,Fasteners,10,10,2,0.2,9.8,-0.2,2
220,OFF-PA-10004000,Office Supplies,Paper,20,20,4,0.8,19.2,-0.8,6
221,OFF-BI-10002852,Office Supplies,Binders,20,20,3,0.6,19.4,-0.6,4
222,FUR-FU-10000087,Furniture,Furnishings,60,70,3,2.1,67.9,7.9,4
223,TEC-MA-10001148,Technology,Machines,410,480,4,19.2,460.8,50.8,4
224,OFF-AR-10001958,Office Supplies,Art,30,30,4,1.2,28.8,-1.2,2
225,OFF-AR-10001026,Office Supplies,Art,0,0,2,0.0,0.0,0.0,1
226,FUR-TA-10003748,Furniture,Tables,510,620,2,12.4,607.6,97.6,5
227,OFF-ST-10002485,Office Supplies,Storage,20,20,3,0.6,19.4,-0.6,1
228,FUR-CH-10004860,Furniture,Chairs,130,160,2,3.2,156.8,26.8,2
229,FUR-CH-10004477,Furniture,Chairs,360,390,2,7.8,382.2,22.2,8
230,OFF-BI-10001679,Office Supplies,Binders,20,20,5,1.0,19.0,-1.0,7
231,FUR-TA-10001705,Furniture,Tables,210,230,4,9.2,220.8,10.8,2
232,FUR-TA-10003473,Furniture,Tables,510,620,4,24.8,595.2,85.2,3
233,OFF-BI-10001679,Office Supplies,Binders,10,10,2,0.2,9.8,-0.2,2
234,FUR-FU-10004017,Furniture,Furnishings,250,260,5,13.0,247.0,-3.0,3
235,TEC-AC-10003832,Technology,Accessories,500,620,4,24.8,595.2,95.2,3
236,OFF-PA-10002479,Office Supplies,Paper,10,10,4,0.4,9.6,-0.4,2
237,OFF-PA-10003349,Office Supplies,Paper,30,30,4,1.2,28.8,-1.2,5
238,FUR-FU-10000576,Furniture,Furnishings,340,420,2,8.4,411.6,71.6,5
239,FUR-FU-10004351,Furniture,Furnishings,10,10,2,0.2,9.8,-0.2,3
240,TEC-PH-10000011,Technology,Phones,30,30,3,0.9,29.1,-0.9,2
241,FUR-TA-10002607,Furniture,Tables,150,180,3,5.4,174.6,24.6,5
242,FUR-FU-10002505,Furniture,Furnishings,0,0,4,0.0,0.0,0.0,3
243,OFF-AR-10004685,Office Supplies,Art,10,10,3,0.3,9.7,-0.3,2
244,FUR-CH-10004063,Furniture,Chairs,1620,2000,2,40.0,1960.0,340.0,7
245,OFF-ST-10002276,Office Supplies,Storage,150,170,4,6.8,163.2,13.2,2
246,OFF-PA-10004082,Office Supplies,Paper,40,50,5,2.5,47.5,7.5,6
247,OFF-AP-10002945,Office Supplies,Appliances,1380,1500,5,75.0,1425.0,45.0,5
248,OFF-PA-10000061,Office Supplies,Paper,20,30,3,0.9,29.1,9.1,4
249,FUR-CH-10002965,Furniture,Chairs,300,320,5,16.0,304.0,4.0,2
250,OFF-PA-10004569,Office Supplies,Paper,10,10,3,0.3,9.7,-0.3,1
251,TEC-AC-10003832,Technology,Accessories,3050,3350,4,134.0,3216.0,166.0,13
252,OFF-ST-10001228,Office Supplies,Storage,70,80,5,4.0,76.0,6.0,6
253,OFF-EN-10003296,Office Supplies,Envelopes,330,360,4,14.4,345.6,15.6,4
254,FUR-FU-10002505,Furniture,Furnishings,10,10,2,0.2,9.8,-0.2,9
255,OFF-ST-10004804,Office Supplies,Storage,70,80,2,1.6,78.4,8.4,2
256,OFF-ST-10001590,Office Supplies,Storage,40,50,2,1.0,49.0,9.0,5
257,TEC-PH-10001580,Technology,Phones,590,650,4,26.0,624.0,34.0,6
258,TEC-AC-10000290,Technology,Accessories,20,20,5,1.0,19.0,-1.0,3
259,OFF-ST-10002790,Office Supplies,Storage,180,220,4,8.8,211.2,31.2,3
260,OFF-BI-10003460,Office Supplies,Binders,20,20,5,1.0,19.0,-1.0,5
261,OFF-AP-10002203,Office Supplies,Appliances,0,0,2,0.0,0.0,0.0,2
262,TEC-MA-10000822,Technology,Machines,2690,3060,3,91.8,2968.2,278.2,3
263,TEC-MA-10003353,Technology,Machines,2170,2520,3,75.6,2444.4,274.4,7
264,TEC-PH-10001433,Technology,Phones,300,330,3,9.9,320.1,20.1,4
265,TEC-AC-10004469,Technology,Accessories,70,80,4,3.2,76.8,6.8,2
266,OFF-AR-10003602,Office Supplies,Art,10,10,5,0.5,9.5,-0.5,3
267,OFF-FA-10003472,Office Supplies,Fasteners,10,10,2,0.2,9.8,-0.2,6
268,OFF-ST-10004180,Office Supplies,Storage,30,40,3,1.2,38.8,8.8,1
269,OFF-EN-10004386,Office Supplies,Envelopes,50,60,3,1.8,58.2,8.2,3
270,OFF-ST-10003208,Office Supplies,Storage,590,730,2,14.6,715.4,125.4,4
271,TEC-AC-10003628,Technology,Accessories,200,210,5,10.5,199.5,-0.5,7
272,FUR-FU-10003274,Furniture,Furnishings,10,10,4,0.4,9.6,-0.4,3
273,OFF-BI-10002557,Office Supplies,Binders,10,10,4,0.4,9.6,-0.4,3
274,OFF-PA-10002615,Office Supplies,Paper,10,10,3,0.3,9.7,-0.3,2
275,OFF-AR-10001427,Office Supplies,Art,10,10,2,0.2,9.8,-0.2,1
276,OFF-PA-10000673,Office Supplies,Paper,10,10,4,0.4,9.6,-0.4,2
277,OFF-PA-10004470,Office Supplies,Paper,20,20,2,0.4,19.6,-0.4,4
278,OFF-ST-10000876,Office Supplies,Storage,50,60,2,1.2,58.8,8.8,6
279,OFF-LA-10002043,Office Supplies,Labels,20,20,5,1.0,19.0,-1.0,3
280,OFF-BI-10004967,Office Supplies,Binders,0,0,3,0.0,0.0,0.0,5
281,TEC-PH-10001760,Technology,Phones,1050,1110,3,33.3,1076.7,26.7,7
282,FUR-TA-10002903,Furniture,Tables,950,1040,5,52.0,988.0,38.0,5
283,OFF-PA-10000474,Office Supplies,Paper,130,140,5,7.0,133.0,3.0,5
284,TEC-AC-10001956,Technology,Accessories,210,240,5,12.0,228.0,18.0,5
285,OFF-PA-10004100,Office Supplies,Paper,30,30,5,1.5,28.5,-1.5,6
286,OFF-BI-10000778,Office Supplies,Binders,230,250,3,7.5,242.5,12.5,7
287,OFF-AP-10002684,Office Supplies,Appliances,150,190,2,3.8,186.2,36.2,2
288,OFF-SU-10000646,Office Supplies,Supplies,810,960,5,48.0,912.0,102.0,5
289,OFF-FA-10002983,Office Supplies,Fasteners,20,20,5,1.0,19.0,-1.0,7
290,OFF-LA-10004689,Office Supplies,Labels,20,20,3,0.6,19.4,-0.6,8
291,TEC-AC-10002001,Technology,Accessories,220,260,2,5.2,254.8,34.8,2
292,FUR-BO-10004709,Furniture,Bookcases,80,90,4,3.6,86.4,6.4,3
293,FUR-FU-10004091,Furniture,Furnishings,280,300,5,15.0,285.0,5.0,8
294,FUR-CH-10001891,Furniture,Chairs,190,230,2,4.6,225.4,35.4,3
295,FUR-FU-10002918,Furniture,Furnishings,180,220,2,4.4,215.6,35.6,3
296,OFF-BI-10004593,Office Supplies,Binders,70,80,5,4.0,76.0,6.0,5
297,OFF-FA-10004854,Office Supplies,Fasteners,30,30,3,0.9,29.1,-0.9,3
298,OFF-PA-10002105,Office Supplies,Paper,20,30,2,0.6,29.4,9.4,5
299,OFF-ST-10002756,Office Supplies,Storage,930,1080,2,21.6,1058.4,128.4,8
300,OFF-PA-10004243,Office Supplies,Paper,50,60,5,3.0,57.0,7.0,3
301,FUR-FU-10001861,Furniture,Furnishings,70,80,4,3.2,76.8,6.8,4
302,OFF-BI-10002706,Office Supplies,Binders,10,10,4,0.4,9.6,-0.4,1
303,FUR-TA-10002533,Furniture,Tables,180,220,4,8.8,211.2,31.2,3
304,FUR-FU-10002671,Furniture,Furnishings,20,30,2,0.6,29.4,9.4,2
305,OFF-AR-10003651,Office Supplies,Art,10,10,4,0.4,9.6,-0.4,3
306,OFF-BI-10001072,Office Supplies,Binders,50,50,5,2.5,47.5,-2.5,3
307,OFF-AR-10002135,Office Supplies,Art,250,290,4,11.6,278.4,28.4,6
308,OFF-AR-10002804,Office Supplies,Art,0,0,3,0.0,0.0,0.0,1
309,FUR-FU-10001918,Furniture,Furnishings,20,20,5,1.0,19.0,-1.0,4
310,FUR-CH-10004086,Furniture,Chairs,400,470,4,18.8,451.2,51.2,2
311,FUR-FU-10001756,Furniture,Furnishings,20,20,4,0.8,19.2,-0.8,1
312,OFF-LA-10000634,Office Supplies,Labels,10,10,3,0.3,9.7,-0.3,3
313,FUR-FU-10001588,Furniture,Furnishings,80,90,2,1.8,88.2,8.2,3
314,TEC-PH-10002398,Technology,Phones,160,180,5,9.0,171.0,11.0,2
315,OFF-PA-10001937,Office Supplies,Paper,20,20,5,1.0,19.0,-1.0,3
316,OFF-AR-10003373,Office Supplies,Art,90,100,2,2.0,98.0,8.0,4
